Date,Close,High,Low,Open,Volume,Target,MA_7,MA_14,Daily_Return,Volatility
2023-11-03,129.48390197753906,129.8414557513251,128.1331449604673,128.21260303853958,19529400,130.5565643310547,125.48555864606585,130.8963851928711,0.013921098857599068,0.029408337136378217
2023-11-06,130.5565643310547,130.665817294883,129.04689114590306,129.33492857557724,15360400,131.50010681152344,126.62206704275948,130.21958814348494,0.008284136770157602,0.029539753439769
2023-11-07,131.50010681152344,132.37413053825398,130.2486761478604,131.0829632569691,19223800,132.354248046875,127.89904131208148,129.73149871826172,0.007227078050830116,0.029611450657666922
2023-11-08,132.354248046875,132.63234372011158,131.26173366061062,131.4603712621971,15093600,130.794921875,128.964603969029,129.32570321219308,0.006495365335146053,0.029724598822754723
2023-11-09,130.794921875,133.04949721077423,130.61613743197077,132.4535692741128,17976500,133.1488037109375,129.87125287737166,128.96743992396765,-0.011781459189150856,0.02959484310120224
2023-11-10,133.1488037109375,133.35738302789937,129.98048343163444,130.63600110771296,20872900,132.73167419433594,130.7920913696289,128.6950171334403,0.017996737198918922,0.02996727770811874
2023-11-13,132.73167419433594,133.19848090776173,131.8675922654779,132.45357851251777,16409900,134.509521484375,131.5100315638951,128.2353057861328,-0.0031328070923350992,0.029532359104219218
2023-11-14,134.509521484375,136.30723226569063,134.1817777176159,134.72802743226794,22317300,135.4530792236328,132.2279772077288,128.85676792689733,0.013394295678332835,0.012692709794147604
2023-11-15,135.4530792236328,135.90994428285046,134.41021266356032,135.71130664166537,15840900,137.75729370117188,132.92747933523995,129.77477318899972,0.007014802586799984,0.009205429470693567
2023-11-16,137.75729370117188,137.93607817454426,135.1551059232679,136.0291296706895,17615100,136.00927734375,133.8213631766183,130.8602022443499,0.01701116350212173,0.009283204331889342
2023-11-17,136.00927734375,137.06207053317732,134.5591936974096,136.88330119387743,25565300,136.9825897216797,134.343510219029,131.654057094029,-0.012689102046485767,0.010308103807133541
2023-11-20,136.9825897216797,137.4841622099929,134.56911311094566,134.57903968756656,19569400,137.67784118652344,135.2274627685547,132.54935782296317,0.007156220494207499,0.009920188822066061
2023-11-21,137.67784118652344,138.0204975488539,136.76906680496015,137.00247019444495,17648100,139.06832885742188,135.87446812220983,133.33327974591936,0.005075473213467241,0.009386255205734419
2023-11-22,139.06832885742188,140.14099022883187,138.05525725857697,138.15458364957178,17306400,137.2805633544922,136.77970450265067,134.14486803327287,0.010099574912818543,0.009438657530368783
2023-11-24,137.2805633544922,138.72766131128793,136.53566086855264,138.59158384910427,8828600,137.11170959472656,137.17556762695312,134.70177241734095,-0.012855302983920791,0.010405772985204604
