Date,Close,High,Low,Open,Volume,Target,MA_7,MA_14,Daily_Return,Volatility
2023-11-03,138.60000610351562,139.49000549316406,137.4499969482422,138.99000549316406,44059800,139.74000549316406,132.3971448625837,129.7471433367048,0.0038386235328597973,0.03038665850608806
2023-11-06,139.74000549316406,140.72999572753906,138.36000061035156,138.75999450683594,44970400,142.7100067138672,135.27857426234655,130.33785792759485,0.008225103459209127,0.030213523964259244
2023-11-07,142.7100067138672,143.3699951171875,140.5,140.5500030517578,53553500,142.0800018310547,137.41714695521765,131.37928662981307,0.02125376487729147,0.029182559892713292
2023-11-08,142.0800018310547,143.1199951171875,141.22000122070312,142.97000122070312,44521700,140.60000610351562,138.75571768624442,132.35643005371094,-0.004414580990635519,0.029337590679557005
2023-11-09,140.60000610351562,142.64999389648438,139.83999633789062,142.02000427246094,36235400,143.55999755859375,139.82857622419084,133.4585734776088,-0.010416636461610618,0.028316251327551882
2023-11-10,143.55999755859375,143.64999389648438,139.91000366210938,140.4600067138672,49287800,142.58999633789062,140.7657187325614,134.67285919189453,0.021052569890351647,0.028505194030202494
2023-11-13,142.58999633789062,143.22999572753906,140.6699981689453,142.0800018310547,35680600,145.8000030517578,141.41143144880022,135.67500196184432,-0.006756765374750118,0.028753120315201424
2023-11-14,145.8000030517578,147.25999450683594,144.67999267578125,145.0,56674600,143.1999969482422,142.44000244140625,137.418573651995,0.02251214528584833,0.022332846347927374
2023-11-15,143.1999969482422,147.2899932861328,142.58999633789062,147.05999755859375,63875700,142.8300018310547,142.93428693498885,139.10643059866769,-0.017832688951265996,0.022621580056790772
2023-11-16,142.8300018310547,143.32000732421875,139.52000427246094,140.91000366210938,49653500,145.17999267578125,142.95142909458704,140.18428802490234,-0.0025837648398919777,0.01641501608292188
2023-11-17,145.17999267578125,145.22999572753906,142.5399932861328,142.66000366210938,49636700,146.1300048828125,143.39428492954798,141.0750013078962,0.016453061783939793,0.014112087748522108
2023-11-20,146.1300048828125,146.6300048828125,144.72999572753906,145.1300048828125,41951200,143.89999389648438,144.18428475516183,142.00643048967635,0.0065436854591447435,0.014072807209736379
2023-11-21,143.89999389648438,144.0500030517578,141.5,143.91000366210938,71226000,146.7100067138672,144.23285566057478,142.49928719656808,-0.015260459261028925,0.01361061923550399
2023-11-22,146.7100067138672,147.74000549316406,144.57000732421875,144.57000732421875,45669100,146.74000549316406,144.82142857142858,143.11643001011439,0.019527539517508297,0.01423524629574357
2023-11-24,146.74000549316406,147.1999969482422,145.32000732421875,146.6999969482422,22378400,147.72999572753906,144.9557146344866,143.69785853794642,0.0002044767086364363,0.01428009419737365
2023-11-27,147.72999572753906,149.25999450683594,146.8800048828125,147.52999877929688,53762400,147.02999877929688,145.6028573172433,144.26857212611608,0.006746559883569869,0.014253312007571458
2023-11-28,147.02999877929688,147.60000610351562,145.52999877929688,146.97999572753906,42711700,146.32000732421875,146.2028568812779,144.5771429879325,-0.00473835354015173,0.013517140728965633
2023-11-29,146.32000732421875,148.5399932861328,145.97000122070312,147.85000610351562,40610900,146.08999633789062,146.36571611676897,144.8800005231585,-0.0048288883967405605,0.01353321998116777
